#{"t_start": 1629205224.2267869, "env_id": null}
r,l,t
-9.888889,2,19.836346
-0.777778,3,19.851907
-9.666667,4,19.851907
-0.777778,3,19.867571
-9.888889,2,19.867571
-9.888889,2,19.883194
-0.777778,3,19.883194
-0.777778,3,19.89881
-9.777778,3,19.89881
-0.777778,3,19.914443
-9.888889,2,19.914443
-0.777778,3,19.930056
-9.777778,3,19.930056
-0.777778,3,19.945653
-9.777778,3,19.945653
-9.777778,3,19.961314
-9.888889,2,19.961314
-9.777778,3,19.976918
-0.666667,4,19.976918
-0.777778,3,19.992559
-9.777778,3,19.992559
-0.777778,3,20.008182
-0.666667,4,20.008182
-9.777778,3,20.023799
-9.777778,3,20.023799
-0.777778,3,20.039425
-0.777778,3,20.056579
-9.666667,4,20.06656
-0.777778,3,20.075577
-9.777778,3,20.082538
-9.555556,5,20.093647
-9.777778,3,20.100808
-9.666667,4,20.139536
-0.777778,3,20.148574
-9.777778,3,20.157504
-9.666667,4,20.166487
-9.666667,4,20.16976
-9.666667,4,20.185431
-0.666667,4,20.185431
-0.777778,3,20.205489
-9.666667,4,20.205489
-9.777778,3,20.221164
-0.777778,3,20.221164
-9.777778,3,20.236794
-9.666667,4,20.252384
-9.777778,3,20.252384
-9.777778,3,20.268048
-0.777778,3,20.268048
-0.777778,3,20.283653
-9.777778,3,20.283653
-9.777778,3,20.299272
-0.777778,3,20.299272
-0.777778,3,20.314857
-0.777778,3,20.314857
-9.666667,4,20.330526
-0.777778,3,20.330526
0.444444,5,20.346147
-0.777778,3,20.361774
-0.666667,4,20.361774
-9.666667,4,20.377369
-9.777778,3,20.377369
-9.777778,3,20.393022
-9.888889,2,20.393022
-0.777778,3,20.409876
-9.888889,2,20.409876
-9.888889,2,20.409876
-0.777778,3,20.42555
-0.777778,3,20.42555
-9.777778,3,20.441175
-0.666667,4,20.441175
-0.777778,3,20.456798
-9.777778,3,20.496875
-0.777778,3,20.508838
-9.888889,2,20.515768
-9.777778,3,20.524233
-0.777778,3,20.53315
-9.777778,3,20.536171
-0.666667,4,20.551797
-9.888889,2,20.551797
-9.777778,3,20.551797
-9.777778,3,20.56742
-0.777778,3,20.56742
-0.777778,3,20.583045
-0.777778,3,20.598667
-9.666667,4,20.598667
-0.777778,3,20.614291
-9.777778,3,20.614291
-0.777778,3,20.629914
-0.777778,3,20.629914
-0.777778,3,20.645537
-0.777778,3,20.645537
